[20:24:31] 待翻 200（名稱類 141、長文 59），已有 0
[20:26:01]   agy OK 90s，回 40 條
[20:26:01] names 批 1/4: 通過 40/40
[20:26:22]   agy OK 21s，回 40 條
[20:26:22] names 批 2/4: 通過 40/40
[20:28:28]   agy OK 126s，回 40 條
[20:28:28] names 批 3/4: 通過 40/40
[20:28:56]   agy OK 28s，回 21 條
[20:28:56] names 批 4/4: 通過 21/21
[20:29:17]   agy OK 21s，回 15 條
[20:29:17] prose 批 1/4: 通過 15/15
[20:29:41]   agy OK 23s，回 15 條
[20:29:41] prose 批 2/4: 通過 15/15
[20:30:10]   agy OK 29s，回 15 條
[20:30:10] prose 批 3/4: 通過 15/15
[20:30:31]   agy OK 21s，回 14 條
[20:30:31] prose 批 4/4: 通過 10/14
[20:30:31] 重試第 1 輪：4 條
[20:31:19]   agy OK 47s，回 4 條
[20:31:19] 完成：成功 200，最終失敗 0 → failed.json
