[20:24:27] 待翻 1079（名稱類 715、長文 364），已有 0
[20:25:01]   agy OK 34s，回 40 條
[20:25:01] names 批 1/18: 通過 37/40
[20:25:22]   agy OK 21s，回 40 條
[20:25:22] names 批 2/18: 通過 40/40
[20:27:11]   agy OK 109s，回 40 條
[20:27:11] names 批 3/18: 通過 40/40
[20:27:27]   agy OK 16s，回 40 條
[20:27:27] names 批 4/18: 通過 40/40
[20:28:36]   agy OK 69s，回 40 條
[20:28:36] names 批 5/18: 通過 40/40
[20:31:25]   agy OK 169s，回 40 條
[20:31:25] names 批 6/18: 通過 40/40
[20:31:57]   agy OK 32s，回 40 條
[20:31:57] names 批 7/18: 通過 40/40
[20:32:15]   agy OK 18s，回 40 條
[20:32:15] names 批 8/18: 通過 40/40
[20:32:31]   agy OK 16s，回 40 條
[20:32:31] names 批 9/18: 通過 40/40
[20:32:51]   agy OK 20s，回 40 條
[20:32:51] names 批 10/18: 通過 40/40
[20:33:12]   agy OK 21s，回 40 條
[20:33:12] names 批 11/18: 通過 40/40
[20:34:17]   agy OK 66s，回 40 條
[20:34:17] names 批 12/18: 通過 40/40
[20:34:31]   agy OK 14s，回 40 條
[20:34:31] names 批 13/18: 通過 40/40
[20:35:13]   agy OK 42s，回 40 條
[20:35:13] names 批 14/18: 通過 40/40
[20:35:32]   agy OK 19s，回 40 條
[20:35:32] names 批 15/18: 通過 40/40
[20:37:07]   agy OK 95s，回 40 條
[20:37:07] names 批 16/18: 通過 29/40
[20:37:22]   agy OK 15s，回 40 條
[20:37:22] names 批 17/18: 通過 40/40
[20:38:25]   agy OK 63s，回 35 條
[20:38:25] names 批 18/18: 通過 35/35
[20:38:47]   agy OK 22s，回 15 條
[20:38:47] prose 批 1/25: 通過 15/15
[20:39:12]   agy 未產出檔案 (25s) stdout尾: '` and others were done.\nI will search for "這個" in the workspace to see how `The ` was translated in other batches.\nI will view the input of names_015 at line 40/41 to see what was translated to "這個".\n'
[20:39:12] prose 批 2/25: 通過 0/15
[20:39:17]   agy 未產出檔案 (5s) stdout尾: ''
[20:39:17] prose 批 3/25: 通過 0/15
[20:39:22]   agy 未產出檔案 (5s) stdout尾: ''
[20:39:22] prose 批 4/25: 通過 0/15
[20:39:27]   agy 未產出檔案 (5s) stdout尾: ''
[20:39:27] prose 批 5/25: 通過 0/15
[20:39:31]   agy 未產出檔案 (5s) stdout尾: ''
[20:39:31] prose 批 6/25: 通過 0/15
[20:39:36]   agy 未產出檔案 (5s) stdout尾: ''
[20:39:36] prose 批 7/25: 通過 0/15
[20:39:41]   agy 未產出檔案 (5s) stdout尾: ''
[20:39:41] prose 批 8/25: 通過 0/15
[20:39:48]   agy 未產出檔案 (7s) stdout尾: ''
[20:39:48] prose 批 9/25: 通過 0/15
[20:39:52]   agy 未產出檔案 (4s) stdout尾: ''
[20:39:52] prose 批 10/25: 通過 0/15
[20:39:58]   agy 未產出檔案 (5s) stdout尾: ''
[20:39:58] prose 批 11/25: 通過 0/15
[20:40:03]   agy 未產出檔案 (5s) stdout尾: ''
[20:40:03] prose 批 12/25: 通過 0/15
[20:40:07]   agy 未產出檔案 (4s) stdout尾: ''
[20:40:07] prose 批 13/25: 通過 0/15
[20:40:12]   agy 未產出檔案 (5s) stdout尾: ''
[20:40:12] prose 批 14/25: 通過 0/15
[20:40:19]   agy 未產出檔案 (7s) stdout尾: ''
[20:40:19] prose 批 15/25: 通過 0/15
[20:40:24]   agy 未產出檔案 (5s) stdout尾: ''
[20:40:24] prose 批 16/25: 通過 0/15
[20:40:29]   agy 未產出檔案 (5s) stdout尾: ''
[20:40:29] prose 批 17/25: 通過 0/15
[20:40:35]   agy 未產出檔案 (6s) stdout尾: ''
[20:40:35] prose 批 18/25: 通過 0/15
[20:40:41]   agy 未產出檔案 (6s) stdout尾: ''
[20:40:41] prose 批 19/25: 通過 0/15
[20:40:46]   agy 未產出檔案 (5s) stdout尾: ''
[20:40:46] prose 批 20/25: 通過 0/15
[20:40:50]   agy 未產出檔案 (5s) stdout尾: ''
[20:40:50] prose 批 21/25: 通過 0/15
[20:40:55]   agy 未產出檔案 (4s) stdout尾: ''
[20:40:55] prose 批 22/25: 通過 0/15
[20:41:00]   agy 未產出檔案 (5s) stdout尾: ''
[20:41:00] prose 批 23/25: 通過 0/15
[20:41:05]   agy 未產出檔案 (5s) stdout尾: ''
[20:41:05] prose 批 24/25: 通過 0/15
[20:41:10]   agy 未產出檔案 (5s) stdout尾: ''
[20:41:10] prose 批 25/25: 通過 0/4
[20:41:10] 重試第 1 輪：363 條
[20:41:14]   agy 未產出檔案 (4s) stdout尾: ''
[20:41:19]   agy 未產出檔案 (5s) stdout尾: ''
[20:41:24]   agy 未產出檔案 (5s) stdout尾: ''
[20:41:28]   agy 未產出檔案 (5s) stdout尾: ''
[20:41:33]   agy 未產出檔案 (5s) stdout尾: ''
[20:41:38]   agy 未產出檔案 (5s) stdout尾: ''
[20:41:43]   agy 未產出檔案 (5s) stdout尾: ''
[20:41:49]   agy 未產出檔案 (6s) stdout尾: ''
