path	bytes	description_key	width	height	plots	world_size	players	starts	cities	units	civs_top	unit_types_top	terrain_top	feature_top	bonus_top	improvement_top
Assets/XML/Scenarios/Against the Grey Calabim.CivBeyondSwordWBSave	109510	TXT_KEY_WB_AGAINST_THE_GREY_DESC	32	24	768	WORLDSIZE_SMALL	35	3	5	116	NONE:32, CIVILIZATION_MALAKIM:1, CIVILIZATION_CALABIM:1, CIVILIZATION_SIDAR:1	UNIT_DIVIDED_SOUL:9, UNIT_ARCHER_SCORPION_CLAN:9, UNIT_ARCHER:8, UNIT_WOLF_RIDER:8, UNIT_WORKER:7, UNIT_SKELETON:5, UNIT_SUPPLIES:5, UNIT_LION:4	TERRAIN_PLAINS:243, TERRAIN_GRASS:242, TERRAIN_COAST:85, TERRAIN_SNOW:45, TERRAIN_MARSH:43, TERRAIN_TUNDRA:42, TERRAIN_DESERT:37, TERRAIN_OCEAN:31	FEATURE_FOREST:91, FEATURE_JUNGLE:25, FEATURE_FLOOD_PLAINS:12, FEATURE_OASIS:3, FEATURE_SCRUB:2, FEATURE_ICE:2	BONUS_PIG:6, BONUS_MANA:6, BONUS_COW:6, BONUS_RICE:4, BONUS_CORN:3, BONUS_HORSE:3, BONUS_COPPER:3, BONUS_SHEEP:2	IMPROVEMENT_BARROW:3, IMPROVEMENT_LION_DEN:2, IMPROVEMENT_DUNGEON:2, IMPROVEMENT_RUINS:2, IMPROVEMENT_BEAR_DEN:2, IMPROVEMENT_TOWER:2, IMPROVEMENT_GOBLIN_FORT:1, IMPROVEMENT_CITY_RUINS:1
Assets/XML/Scenarios/Against the Grey Malakim.CivBeyondSwordWBSave	109620	TXT_KEY_WB_AGAINST_THE_GREY_DESC	32	24	768	WORLDSIZE_SMALL	35	3	5	117	NONE:32, CIVILIZATION_MALAKIM:1, CIVILIZATION_CALABIM:1, CIVILIZATION_SIDAR:1	UNIT_SUPPLIES:11, UNIT_WORKER:9, UNIT_DIVIDED_SOUL:9, UNIT_ARCHER:8, UNIT_WOLF_RIDER:8, UNIT_SKELETON:5, UNIT_LION:4, UNIT_SETTLER:4	TERRAIN_PLAINS:243, TERRAIN_GRASS:242, TERRAIN_COAST:85, TERRAIN_SNOW:45, TERRAIN_MARSH:43, TERRAIN_TUNDRA:42, TERRAIN_DESERT:37, TERRAIN_OCEAN:31	FEATURE_FOREST:91, FEATURE_JUNGLE:25, FEATURE_FLOOD_PLAINS:12, FEATURE_OASIS:3, FEATURE_SCRUB:2, FEATURE_ICE:2	BONUS_MANA:6, BONUS_COW:5, BONUS_PIG:4, BONUS_SHEEP:4, BONUS_COPPER:3, BONUS_HORSE:3, BONUS_CORN:3, BONUS_RICE:3	IMPROVEMENT_BARROW:3, IMPROVEMENT_LION_DEN:2, IMPROVEMENT_DUNGEON:2, IMPROVEMENT_RUINS:2, IMPROVEMENT_BEAR_DEN:2, IMPROVEMENT_TOWER:2, IMPROVEMENT_GOBLIN_FORT:1, IMPROVEMENT_CITY_RUINS:1
Assets/XML/Scenarios/Against the Wall.CivBeyondSwordWBSave	240472	TXT_KEY_WB_AGAINST_THE_WALL_DESC	64	40	2560	WORLDSIZE_STANDARD	35	7	0	0	NONE:28, CIVILIZATION_HIPPUS:4, CIVILIZATION_KHAZAD:1, CIVILIZATION_LANUN:1, CIVILIZATION_CLAN_OF_EMBERS:1		TERRAIN_GRASS:1051, TERRAIN_PLAINS:465, TERRAIN_COAST:386, TERRAIN_TUNDRA:267, TERRAIN_DESERT:228, TERRAIN_SNOW:106, TERRAIN_OCEAN:57	FEATURE_FOREST:538, FEATURE_JUNGLE:95, FEATURE_FLOOD_PLAINS:28, FEATURE_OASIS:6, FEATURE_SCRUB:1		
Assets/XML/Scenarios/Barbarian Assault.CivBeyondSwordWBSave	195150	TXT_KEY_WB_BARBARIAN_ASSAULT_DESC	52	32	1664	WORLDSIZE_STANDARD	35	1	4	12	NONE:26, CIVILIZATION_CLAN_OF_EMBERS:2, CIVILIZATION_LJOSALFAR:1, CIVILIZATION_ELOHIM:1, CIVILIZATION_LUCHUIRP:1, CIVILIZATION_DOVIELLO:1	UNIT_AXEMAN:6, UNIT_WARRIOR:1, UNIT_ARCHER:1, UNIT_ADEPT:1, UNIT_GOBLIN:1, UNIT_SETTLER:1, UNIT_CHAMPION:1	TERRAIN_GRASS:1148, TERRAIN_DESERT:207, TERRAIN_PLAINS:119, TERRAIN_COAST:115, TERRAIN_MARSH:61, TERRAIN_BROKEN_LANDS:8, TERRAIN_OCEAN:3, TERRAIN_BURNING_SANDS:3	FEATURE_JUNGLE:742, FEATURE_FOREST:96, FEATURE_FLOOD_PLAINS:36, FEATURE_OASIS:5, FEATURE_VOLCANO:3	BONUS_PIG:50, BONUS_RICE:40, BONUS_BANANA:27, BONUS_MANA:20, BONUS_HORSE:10, BONUS_COPPER:10, BONUS_INCENSE:8, BONUS_GOLD:8	IMPROVEMENT_BARROW:7, IMPROVEMENT_RUINS:7, IMPROVEMENT_TOWER:3, IMPROVEMENT_PYRE_OF_THE_SERAPHIC:1
Assets/XML/Scenarios/Beneath the Heel.CivBeyondSwordWBSave	151345	TXT_KEY_WB_BENEATH_THE_HEEL_DESC	44	32	1408	WORLDSIZE_STANDARD	35	7	8	24	NONE:28, CIVILIZATION_LUCHUIRP:2, CIVILIZATION_HIPPUS:1, CIVILIZATION_ILLIANS:1, CIVILIZATION_ELOHIM:1, CIVILIZATION_CALABIM:1	UNIT_ARCHER:7, UNIT_WORKER:5, UNIT_DWARVEN_SLINGER:4, UNIT_LONGBOWMAN:2, UNIT_BARNAXUS:1, UNIT_DISCIPLE_THE_ASHEN_VEIL:1, UNIT_AURIC:1, UNIT_AXEMAN:1	TERRAIN_PLAINS:619, TERRAIN_GRASS:348, TERRAIN_DESERT:184, TERRAIN_OCEAN:121, TERRAIN_COAST:58, TERRAIN_BROKEN_LANDS:33, TERRAIN_TUNDRA:22, TERRAIN_SNOW:22	FEATURE_FOREST:217, FEATURE_FLOOD_PLAINS:47, FEATURE_JUNGLE:17, FEATURE_OASIS:1, FEATURE_ICE:1	BONUS_COW:20, BONUS_SHEEP:9, BONUS_HORSE:8, BONUS_COPPER:7, BONUS_FUR:7, BONUS_CORN:6, BONUS_DEER:5, BONUS_IRON:5	IMPROVEMENT_GOODY_HUT:3, IMPROVEMENT_FARM:2, IMPROVEMENT_PASTURE:2, IMPROVEMENT_REMNANTS_OF_PATRIA:1, IMPROVEMENT_CAMP:1, IMPROVEMENT_CASTLE:1, IMPROVEMENT_WINERY:1
Assets/XML/Scenarios/Blood of Angels.CivBeyondSwordWBSave	223230	TXT_KEY_WB_BLOOD_OF_ANGELS_DESC	48	48	2304	WORLDSIZE_STANDARD	35	5	18	34	NONE:30, CIVILIZATION_DOVIELLO:1, CIVILIZATION_ILLIANS:1, CIVILIZATION_BANNOR:1, CIVILIZATION_LANUN:1, CIVILIZATION_GRIGORI:1	UNIT_LONGBOWMAN:16, UNIT_ARCHER:9, UNIT_JAVELIN_THROWER:4, UNIT_WORKER:4, UNIT_LUCIAN:1	TERRAIN_GRASS:663, TERRAIN_PLAINS:604, TERRAIN_TUNDRA:353, TERRAIN_COAST:253, TERRAIN_DESERT:196, TERRAIN_OCEAN:174, TERRAIN_SNOW:51, TERRAIN_MARSH:10	FEATURE_FOREST:400, FEATURE_JUNGLE:33, FEATURE_SCRUB:11, FEATURE_FLOOD_PLAINS:8, FEATURE_OASIS:1	BONUS_INCENSE:4, BONUS_REAGENTS:4, BONUS_GUNPOWDER:3, BONUS_IRON:2, BONUS_CORN:1, BONUS_PIG:1, BONUS_CLAM:1, BONUS_SUGAR:1	IMPROVEMENT_FISHING_BOATS:1, IMPROVEMENT_TOWER:1
Assets/XML/Scenarios/Fall of Cuantine.CivBeyondSwordWBSave	112691	TXT_KEY_WB_FALL_OF_CUANTINE_DESC	32	24	768	WORLDSIZE_SMALL	35	3	13	95	NONE:32, CIVILIZATION_BANNOR:2, CIVILIZATION_LANUN:1	UNIT_WARRIOR:16, UNIT_AXEMAN:9, UNIT_ARCHER:6, UNIT_WOLF:6, UNIT_LONGBOWMAN:5, UNIT_SWORDSMAN:4, UNIT_HUNTER:4, UNIT_FREAK:4	TERRAIN_GRASS:359, TERRAIN_COAST:198, TERRAIN_OCEAN:91, TERRAIN_PLAINS:84, TERRAIN_TUNDRA:25, TERRAIN_DESERT:7, TERRAIN_SNOW:3, TERRAIN_BROKEN_LANDS:1	FEATURE_FOREST:86, FEATURE_JUNGLE:52, FEATURE_FOREST_NEW:11, FEATURE_ICE:4, FEATURE_FOREST_ANCIENT:4, FEATURE_VOLCANO:1, FEATURE_OASIS:1	BONUS_SILK:6, BONUS_CLAM:6, BONUS_MANA:6, BONUS_IRON:5, BONUS_FISH:5, BONUS_PIG:5, BONUS_COPPER:4, BONUS_RICE:4	IMPROVEMENT_FARM:15, IMPROVEMENT_COTTAGE:7, IMPROVEMENT_HAMLET:7, IMPROVEMENT_GOODY_HUT:5, IMPROVEMENT_MINE:3, IMPROVEMENT_PIRATE_COVE:2, IMPROVEMENT_RUINS:2, IMPROVEMENT_TOWER:2
Assets/XML/Scenarios/Gift of Kylorin.CivBeyondSwordWBSave	121194	TXT_KEY_WB_GIFT_OF_KYLORIN_DESC	40	24	960	WORLDSIZE_TINY	35	2	0	62	NONE:33, CIVILIZATION_AMURITES:1, CIVILIZATION_SIDAR:1	UNIT_MANES:23, UNIT_WOOD_GOLEM:10, EQUIPMENT_TREASURE:6, UNIT_CHAMPION:6, UNIT_SPECTRE:4, UNIT_SKELETON:3, UNIT_OGRE:2, UNIT_TAR_DEMON:1	TERRAIN_SHALLOWS:763, TERRAIN_GRASS:77, TERRAIN_BROKEN_LANDS:64, TERRAIN_COAST:24, TERRAIN_FIELDS_OF_PERDITION:18, TERRAIN_BURNING_SANDS:14	FEATURE_WALLS:467, FEATURE_FALLOUT:11, FEATURE_DOOR_WEST_CLOSED:5, FEATURE_DOOR_NORTH_CLOSED:3, FEATURE_FLAMES:2		IMPROVEMENT_SNAKE_PILLAR:14, IMPROVEMENT_WARNING_POST:7, IMPROVEMENT_MUSHROOMS:2, IMPROVEMENT_NECROTOTEM:1, IMPROVEMENT_PORTAL:1
Assets/XML/Scenarios/Grand Menagerie.CivBeyondSwordWBSave	91474	TXT_KEY_WB_GRAND_MENAGERIE_DESC	40	24	960	WORLDSIZE_TINY	35	2	2	12	NONE:33, CIVILIZATION_LANUN:1, CIVILIZATION_BALSERAPHS:1	UNIT_SWORDSMAN:2, UNIT_WOLF:1, UNIT_POLAR_BEAR:1, UNIT_HUNTER:1, UNIT_WARRIOR:1, UNIT_GIANT_TORTOISE:1, UNIT_GIANT_SPIDER:1, UNIT_HILL_GIANT:1	TERRAIN_OCEAN:539, TERRAIN_COAST:151, TERRAIN_GRASS:106, TERRAIN_PLAINS:80, TERRAIN_TUNDRA:27, TERRAIN_SNOW:25, TERRAIN_DESERT:20, TERRAIN_MARSH:12	FEATURE_ICE:122, FEATURE_FOREST:56, FEATURE_JUNGLE:16, FEATURE_FLOOD_PLAINS:6, FEATURE_SCRUB:2, FEATURE_OASIS:1		
Assets/XML/Scenarios/Into the Desert Calabim.CivBeyondSwordWBSave	230628	TXT_KEY_WB_INTO_THE_DESERT_DESC	56	36	2016	WORLDSIZE_STANDARD	35	6	20	104	NONE:29, CIVILIZATION_MALAKIM:2, CIVILIZATION_CALABIM:1, CIVILIZATION_ELOHIM:1, CIVILIZATION_SVARTALFAR:1, CIVILIZATION_KHAZAD:1	UNIT_ARCHER_SCORPION_CLAN:9, UNIT_LION:9, UNIT_ARCHER:9, UNIT_HILL_GIANT:8, UNIT_SWORDSMAN:7, UNIT_LONGBOWMAN:6, UNIT_WORKER:5, UNIT_AXEMAN:4	TERRAIN_GRASS:661, TERRAIN_PLAINS:377, TERRAIN_DESERT:360, TERRAIN_COAST:344, TERRAIN_OCEAN:237, TERRAIN_TUNDRA:28, TERRAIN_SNOW:6, TERRAIN_MARSH:3	FEATURE_FOREST:198, FEATURE_FLOOD_PLAINS:57, FEATURE_FOREST_NEW:53, FEATURE_SCRUB:38, FEATURE_JUNGLE:17, FEATURE_OASIS:16, FEATURE_ICE:5	BONUS_MANA:11, BONUS_CRAB:11, BONUS_FISH:11, BONUS_COW:10, BONUS_WINE:8, BONUS_COPPER:7, BONUS_MARBLE:7, BONUS_GOLD:7	IMPROVEMENT_TOWER:6, IMPROVEMENT_BARROW:5, IMPROVEMENT_LION_DEN:5, IMPROVEMENT_BEAR_DEN:4, IMPROVEMENT_DUNGEON:4, IMPROVEMENT_COTTAGE:4, IMPROVEMENT_GOBLIN_FORT:3, IMPROVEMENT_CAMP:3
