path	size_bytes	nearby_textures	status	proxy_png
Art/Structures/Buildings/Adularia Chamber/gaurishrine.nif	15235		needs_nif_renderer	
Art/Structures/Buildings/Dwarven Smithy/GauriFoundry.NIF	36632		needs_nif_renderer	
Art/Structures/Buildings/Palisade/BoundShape.nif	2150	palisade.dds,wall_01shadow.dds,wood.dds	needs_nif_renderer	
Art/Structures/Buildings/Palisade/palisade.nif	5946	palisade.dds,wall_01shadow.dds,wood.dds	needs_nif_renderer	
Art/Structures/Buildings/Palisade/post01_afro.nif	2687	palisade.dds,wall_01shadow.dds,wood.dds	needs_nif_renderer	
Art/Structures/Buildings/Palisade/wall01_afro.nif	20808	palisade.dds,wall_01shadow.dds,wood.dds	needs_nif_renderer	
Art/Structures/Buildings/Palisade/wall02_afro.nif	40608	palisade.dds,wall_01shadow.dds,wood.dds	needs_nif_renderer	
Art/Structures/Buildings/Palisade/wall04_afro.nif	98928	palisade.dds,wall_01shadow.dds,wood.dds	needs_nif_renderer	
Art/Units/Civs/Balseraphs/Chariot/Chariot_Celtic.nif	149301	Celtic_Chariot_128.dds,Celtic_Chariot_Horse_128.dds,Celtic_Chariot_Rider_128.dds,Orangutan_Adult_F_Hair.dds,Orangutan_Adult_M.dds	texture_proxy_generated	sprites/nif-proxy/chariot.png
Art/Units/Civs/Calabim/Adept/IncanQuechua.nif	49327	adeptweapons.dds,samurai_128.dds,spy_128.dds	needs_nif_renderer	
Art/Units/Civs/Calabim/Archmage/Pikeman.nif	96539	archmage_body.dds,archmage_face.dds,coll2.dds,crachat_faiblesse.dds,fx_explosion_toxic_01.dds,fx_explosiontoxic_002a.dds,fx_explosiontoxic_002b.dds,fx_explosiontoxic_002c.dds	needs_nif_renderer	
Art/Units/Civs/Calabim/Mage/spy.nif	66484	coll2.dds,fx_explosion_toxic_01.dds,fx_explosiontoxic_002a.dds,fx_explosiontoxic_002b.dds,fx_explosiontoxic_002c.dds,fx_explotoxic_002a.dds,fx_explotoxic_002c.dds,fx_explotoxic_002d.dds	texture_proxy_generated	sprites/nif-proxy/mage-spy.png
Art/Units/Civs/Calabim/Mage/spy_freeze1000.nif	23542	coll2.dds,fx_explosion_toxic_01.dds,fx_explosiontoxic_002a.dds,fx_explosiontoxic_002b.dds,fx_explosiontoxic_002c.dds,fx_explotoxic_002a.dds,fx_explotoxic_002c.dds,fx_explotoxic_002d.dds	needs_nif_renderer	
Art/Units/Civs/Calabim/Mage/spy_freeze1021.nif	23542	coll2.dds,fx_explosion_toxic_01.dds,fx_explosiontoxic_002a.dds,fx_explosiontoxic_002b.dds,fx_explosiontoxic_002c.dds,fx_explotoxic_002a.dds,fx_explotoxic_002c.dds,fx_explotoxic_002d.dds	needs_nif_renderer	
Art/Units/Civs/Calabim/Vampire Lord/Unique_Sumerian_Vulture.nif	70203	Vampire Lord.dds,coll2.dds,fx_explosion_toxic_01.dds,fx_explosiontoxic_002a.dds,fx_explosiontoxic_002b.dds,fx_explosiontoxic_002c.dds,fx_explotoxic_002a.dds,fx_explotoxic_002c.dds	texture_proxy_generated	sprites/nif-proxy/vampire-lord.png
Art/Units/Civs/Elohim/Adept/IncanQuechua.nif	42608	adept Kopie.dds	needs_nif_renderer	
Art/Units/Civs/Elohim/Archer/archer.nif	68001	archer_128.dds,elohimarcher Kopie.dds	texture_proxy_generated	sprites/nif-proxy/archer.png
Art/Units/Civs/Elohim/Axeman/Spearman.nif	58209	AO_gear Kopie.dds,Spearman Kopie.dds	needs_nif_renderer	
Art/Units/Civs/Elohim/Champion/knightstemplar.nif	63439	AO_gear Kopie.dds,Lancer Kopie.dds	needs_nif_renderer	
Art/Units/Civs/Elohim/Chariot/Chariot_Celtic.nif	134218	AO_gear Kopie.dds,Celtic_Chariot_128.dds,Celtic_Chariot_Horse_128.dds,Celtic_Chariot_Rider_128.dds,Lancer Kopie.dds	needs_nif_renderer	
Art/Units/Civs/Elohim/Horse Archer/Horsearcher.nif	81254	elohimarcher Kopie.dds,horsearcher-horse.dds,horsearcher_weapons_64.dds	needs_nif_renderer	
Art/Units/Civs/Elohim/Horseman/Unique_Byzantine_Cataphract.nif	84764	AO_gear Kopie.dds,Horse.dds,Spearman Kopie.dds	needs_nif_renderer	
Art/Units/Civs/Elohim/Hunter/Hunter.nif	42414	hunter1 Kopie.dds,settler_child_128.dds	needs_nif_renderer	
Art/Units/Civs/Elohim/Longbowman/Unique_Babylon_Bowman.nif	63933	AO_gear Kopie.dds,Elohimarcher Kopie.dds,Unique_Babylon_Bowman_128.dds,Unique_Babylon_Bowman_128_Gloss.dds,Unique_Babylon_Bowman_Arrow_64.dds	needs_nif_renderer	
Art/Units/Civs/Elohim/Mage/AncientSpy.nif	37903	Elohimmage1 Kopie.dds	needs_nif_renderer	
Art/Units/Civs/Elohim/Scout/scout.nif	61351	scout Kopie.dds,torch.dds,torch_gloss.dds	needs_nif_renderer	
Art/Units/Civs/Grigori/Adept/AncientSpy.nif	55835	grigori adept kopie.dds,spy_128.dds	needs_nif_renderer	
Art/Units/Civs/Grigori/Archmage/AncientSpy.nif	103072	grigori Mage Kopie.dds	needs_nif_renderer	
Art/Units/Civs/Grigori/Mage/AncientSpy.nif	103027	grigori adept Kopie.dds	needs_nif_renderer	
Art/Units/Civs/Illians/Adept/IncanQuechua.nif	71469	barmaid_e.dds,berseker.dds,devout kopie.dds,illianspriest_256.dds,sphere.dds	needs_nif_renderer	
Art/Units/Civs/Illians/Archmage/ancientspy.nif	108402	devout kopie.dds,sphere.dds	needs_nif_renderer	
Art/Units/Civs/Illians/Mage/Unique_Sumerian_Vulture.nif	70966	devout kopie.dds	needs_nif_renderer	
