kind	key	count	bytes	mib
category	art_media	1629	445814974	425.16
category	maps_scenarios	23	4881220	4.66
category	other	161	226469288	215.98
category	text_xml_python	137	28900704	27.56
category	tools_binaries	3	8778272	8.37
extension	art_media:.bik	35	22096568	21.07
extension	art_media:.bmp	1	12344	0.01
extension	art_media:.dds	279	23197900	22.12
extension	art_media:.fpk	1	347488788	331.39
extension	art_media:.kf	133	2054660	1.96
extension	art_media:.kfm	10	23491	0.02
extension	art_media:.nif	68	4851577	4.63
extension	art_media:.psd	1	94889	0.09
extension	art_media:.tga	878	17974392	17.14
extension	art_media:.wav	223	28020365	26.72
extension	maps_scenarios:.civbeyondswordwbsave	22	4744357	4.52
extension	maps_scenarios:.py	1	136863	0.13
extension	other:.db	9	249344	0.24
extension	other:.mp3	120	223736567	213.37
extension	other:.thm	25	1031013	0.98
extension	other:.ttf	7	1452364	1.39
extension	text_xml_python:.ini	1	763	0.0
extension	text_xml_python:.py	39	1995692	1.9
extension	text_xml_python:.rtf	1	71105	0.07
extension	text_xml_python:.txt	1	6078	0.01
extension	text_xml_python:.xml	95	26827066	25.58
extension	tools_binaries:.dll	1	5312512	5.07
extension	tools_binaries:.lnk	1	2273	0.0
extension	tools_binaries:.xlsm	1	3463487	3.3
