field	token	count
TerrainType	TERRAIN_GRASS	12729
TerrainType	TERRAIN_OCEAN	8117
TerrainType	TERRAIN_PLAINS	5983
TerrainType	TERRAIN_COAST	5750
TerrainType	TERRAIN_BROKEN_LANDS	3458
TerrainType	TERRAIN_DESERT	2429
TerrainType	TERRAIN_TUNDRA	2340
TerrainType	TERRAIN_SNOW	1396
TerrainType	TERRAIN_SHALLOWS	897
TerrainType	TERRAIN_MARSH	511
TerrainType	TERRAIN_FIELDS_OF_PERDITION	356
TerrainType	TERRAIN_BURNING_SANDS	322
FeatureType	FEATURE_FOREST	5520
FeatureType	FEATURE_JUNGLE	1518
FeatureType	FEATURE_ICE	932
FeatureType	FEATURE_WALLS	721
FeatureType	FEATURE_FALLOUT	389
FeatureType	FEATURE_FLOOD_PLAINS	382
FeatureType	FEATURE_FOREST_NEW	158
FeatureType	FEATURE_SCRUB	124
FeatureType	FEATURE_OASIS	77
FeatureType	FEATURE_FOREST_BURNT	48
FeatureType	FEATURE_FOREST_ANCIENT	42
FeatureType	FEATURE_FLAMES	21
FeatureType	FEATURE_TORMENTED_SOULS	9
FeatureType	FEATURE_BLIZZARD	9
FeatureType	FEATURE_DOOR_WEST_CLOSED	8
FeatureType	FEATURE_OBSIDIAN_PLAINS	8
FeatureType	FEATURE_VOLCANO	7
FeatureType	FEATURE_DOOR_NORTH_CLOSED	7
BonusType	BONUS_COW	141
BonusType	BONUS_MANA	90
BonusType	BONUS_PIG	85
BonusType	BONUS_RICE	85
BonusType	BONUS_CORN	80
BonusType	BONUS_COPPER	56
BonusType	BONUS_HORSE	53
BonusType	BONUS_FISH	50
BonusType	BONUS_INCENSE	46
BonusType	BONUS_IRON	44
BonusType	BONUS_BANANA	41
BonusType	BONUS_FUR	37
BonusType	BONUS_GOLD	37
BonusType	BONUS_WINE	34
BonusType	BONUS_MARBLE	34
BonusType	BONUS_REAGENTS	32
BonusType	BONUS_SILK	31
BonusType	BONUS_DYE	28
BonusType	BONUS_SHEEP	27
